Index,Location,Days,RainToday,NoOfRainyDays,PercentageRain
0,Canberra,3436,Yes,629,18.31
1,Sydney,3344,Yes,866,25.9
2,Darwin,3193,Yes,852,26.68
3,Melbourne,3193,Yes,636,19.92
4,Brisbane,3193,Yes,709,22.2
5,Adelaide,3193,Yes,689,21.58
6,Perth,3193,Yes,645,20.2
7,Hobart,3193,Yes,762,23.86
8,Albany,3040,Yes,902,29.67
9,MountGambier,3040,Yes,921,30.3
10,Ballarat,3040,Yes,781,25.69
11,Townsville,3040,Yes,520,17.11
12,GoldCoast,3040,Yes,775,25.49
13,Cairns,3040,Yes,950,31.25
14,Launceston,3040,Yes,700,23.03
15,AliceSprings,3040,Yes,244,8.03
16,Bendigo,3040,Yes,562,18.49
17,Albury,3040,Yes,617,20.3
18,MountGinini,3040,Yes,819,26.94
19,Wollongong,3040,Yes,713,23.45
20,Newcastle,3039,Yes,731,24.05
21,Tuggeranong,3039,Yes,568,18.69
22,Penrith,3039,Yes,595,19.58
23,Woomera,3009,Yes,202,6.71
24,Nuriootpa,3009,Yes,592,19.67
25,Cobar,3009,Yes,386,12.83
26,CoffsHarbour,3009,Yes,869,28.88
27,Moree,3009,Yes,394,13.09
28,Sale,3009,Yes,643,21.37
29,PerthAirport,3009,Yes,567,18.84
30,PearceRAAF,3009,Yes,505,16.78
31,Witchcliffe,3009,Yes,879,29.21
32,BadgerysCreek,3009,Yes,583,19.38
33,Mildura,3009,Yes,327,10.87
34,NorfolkIsland,3009,Yes,919,30.54
35,MelbourneAirport,3009,Yes,653,21.7
36,Richmond,3009,Yes,560,18.61
37,SydneyAirport,3009,Yes,774,25.72
38,WaggaWagga,3009,Yes,536,17.81
39,Williamtown,3009,Yes,700,23.26
40,Dartmoor,3009,Yes,921,30.61
41,Watsonia,3009,Yes,738,24.53
42,Portland,3009,Yes,1094,36.36
43,Walpole,3006,Yes,949,31.57
44,NorahHead,3004,Yes,808,26.9
45,SalmonGums,3001,Yes,472,15.73
46,Katherine,1578,Yes,265,16.79
47,Nhil,1578,Yes,242,15.34
48,Uluru,1578,Yes,116,7.35
