Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
World,all_energy_types,2000,402.3787224,399.8552158,66398.35639,6141880.599,65.51392784,6.060070524,23494.91628
World,coal,2000,98.65762995,96.35223567,66398.35639,6141880.599,65.51392784,6.060070524,8901.51995
World,natural_gas,2000,89.60485068,89.2842322,66398.35639,6141880.599,65.51392784,6.060070524,4571.850603
World,petroleum_n_other_liquids,2000,156.6662311,156.3524197,66398.35639,6141880.599,65.51392784,6.060070524,10021.54573
World,nuclear,2000,25.65052128,25.65052128,66398.35639,6141880.599,65.51392784,6.060070524,0
World,renewables_n_other,2000,31.75923102,32.21580695,66398.35639,6141880.599,65.51392784,6.060070524,0
Afghanistan,all_energy_types,2000,0.020178062,0.011706709,20.5799,20780,0.971032813,0.980474242,1.25314859
Afghanistan,coal,2000,2.08E-05,1.98E-05,20.5799,20780,0.971032813,0.980474242,0.001943812
Afghanistan,natural_gas,2000,0.008504205,0.008504205,20.5799,20780,0.971032813,0.980474242,0.451204778
Afghanistan,petroleum_n_other_liquids,2000,0.008129111,0,20.5799,20780,0.971032813,0.980474242,0.8
Afghanistan,nuclear,2000,,,20.5799,20780,0.971032813,0.980474242,0
Afghanistan,renewables_n_other,2000,0.003523912,0.003182712,20.5799,20780,0.971032813,0.980474242,0
Albania,all_energy_types,2000,0.098037356,0.060831838,17.9665,3129.25,31.32934599,5.456675253,2.926686734
Albania,coal,2000,0.00109781,0.000279881,17.9665,3129.25,31.32934599,5.456675253,0.087563958
Albania,natural_gas,2000,0.001106066,0.001106066,17.9665,3129.25,31.32934599,5.456675253,0.039122776
Albania,petroleum_n_other_liquids,2000,0.045761196,0.013051744,17.9665,3129.25,31.32934599,5.456675253,2.8
Albania,nuclear,2000,,,17.9665,3129.25,31.32934599,5.456675253,0
Albania,renewables_n_other,2000,0.050072284,0.046394148,17.9665,3129.25,31.32934599,5.456675253,0
Algeria,all_energy_types,2000,1.27414091,6.190571222,277.759,31042.2,41.04544489,4.58721737,70.68890255
Algeria,coal,2000,0.016194829,0,277.759,31042.2,41.04544489,4.58721737,1.689521744
Algeria,natural_gas,2000,0.818288103,3.312952416,277.759,31042.2,41.04544489,4.58721737,44.99938081
Algeria,petroleum_n_other_liquids,2000,0.4381881,2.877078153,277.759,31042.2,41.04544489,4.58721737,24
Algeria,nuclear,2000,,,277.759,31042.2,41.04544489,4.58721737,0
Algeria,renewables_n_other,2000,0.001469878,0.000540653,277.759,31042.2,41.04544489,4.58721737,0
American Samoa,all_energy_types,2000,0.007837103,0,,57.821,135.5407745,0,0.562878562
